CUSTOMER_COUNT,
value,Simulation Time,Total Customers,Turned Away Customers,Average Time In Seat,Average people in the shop,Average Time Spent In Shop,
2,10001.000000,1662,0,20.02,0.22,1.35,
3,10001.000000,2509,0,30.26,0.37,1.49,
4,10001.000000,3359,0,40.60,0.56,1.66,
5,10001.000000,4113,0,50.24,0.79,1.92,
6,10001.000000,4880,7,59.44,1.06,2.18,
7,10001.000000,5560,38,68.00,1.41,2.55,
8,10001.000000,6181,134,74.44,1.72,2.85,
9,10001.000000,6881,340,81.23,2.10,3.20,
10,10001.000000,7528,582,84.56,2.38,3.42,
11,10001.000000,8254,962,88.78,2.69,3.70,
12,10001.000000,8928,1445,91.29,2.95,3.95,
13,10001.000000,9683,2039,93.48,3.23,4.23,
14,10001.000000,10518,2687,95.21,3.41,4.36,
15,10001.000000,11360,3446,96.02,3.57,4.51,
16,10001.000000,12197,4208,97.29,3.71,4.64,
17,10001.000000,13026,4974,97.66,3.85,4.78,
18,10001.000000,13897,5844,98.23,3.96,4.92,
19,10001.000000,14764,6626,98.58,4.06,4.99,
CUSTOMER_SLEEP_TIME,
value,Simulation Time,Total Customers,Turned Away Customers,Average Time In Seat,Average people in the shop,Average Time Spent In Shop,
2,10001.000000,26473,18264,99.96,4.66,5.68,
3,10001.000000,18356,10079,99.83,4.43,5.35,
4,10001.000000,14407,6236,99.40,4.18,5.11,
5,10001.000000,12109,4053,98.43,3.91,4.85,
6,10001.000000,10607,2615,96.80,3.58,4.49,
7,10001.000000,9506,1643,94.00,3.17,4.03,
8,10001.000000,8686,1131,91.46,2.94,3.89,
9,10001.000000,8115,807,88.98,2.65,3.62,
10,10001.000000,7528,582,84.56,2.38,3.42,
11,10001.000000,7017,371,81.55,2.17,3.26,
12,10001.000000,6578,226,77.21,1.92,3.02,
13,10001.000000,6215,184,73.51,1.73,2.87,
14,10001.000000,5899,136,70.81,1.62,2.81,
15,10001.000000,5593,95,66.81,1.45,2.63,
16,10001.000000,5358,75,64.92,1.37,2.60,
17,10001.000000,5080,58,60.73,1.18,2.35,
18,10001.000000,4834,36,58.00,1.09,2.28,
19,10001.000000,4662,34,56.85,1.05,2.28,
MAX_CHAIR_COUNT,
value,Simulation Time,Total Customers,Turned Away Customers,Average Time In Seat,Average people in the shop,Average Time Spent In Shop,
2,10001.000000,8292,1852,77.49,1.56,2.43,
3,10001.000000,7916,1112,83.50,2.07,3.04,
4,10001.000000,7528,582,84.56,2.38,3.42,
5,10001.000000,7291,235,85.35,2.56,3.63,
6,10001.000000,7142,95,86.45,2.80,3.98,
7,10001.000000,7099,14,85.84,2.75,3.88,
8,10001.000000,7099,0,86.94,2.83,3.98,
9,10001.000000,7099,0,86.94,2.83,3.98,
10,10001.000000,7099,0,86.94,2.83,3.98,
11,10001.000000,7099,0,86.94,2.83,3.98,
12,10001.000000,7099,0,86.94,2.83,3.98,
13,10001.000000,7099,0,86.94,2.83,3.98,
14,10001.000000,7099,0,86.94,2.83,3.98,
15,10001.000000,7099,0,86.94,2.83,3.98,
16,10001.000000,7099,0,86.94,2.83,3.98,
17,10001.000000,7099,0,86.94,2.83,3.98,
18,10001.000000,7099,0,86.94,2.83,3.98,
BARBER_SLEEP_TIME,
value,Simulation Time,Total Customers,Turned Away Customers,Average Time In Seat,Average people in the shop,Average Time Spent In Shop,
2,10001.000000,6289,1497,96.80,3.58,7.48,
3,10001.000000,5732,2509,99.29,4.18,12.98,
4,10001.000000,5451,2978,99.80,4.43,17.91,
5,10001.000000,5370,3447,99.83,4.59,23.92,
6,10001.000000,5284,3673,99.92,4.66,28.97,
7,10001.000000,5190,3787,99.92,4.72,33.68,
8,10001.000000,5129,3861,99.92,4.73,37.34,
9,10001.000000,5088,3967,99.94,4.78,42.55,
10,10001.000000,5052,4037,99.94,4.81,47.47,
11,10001.000000,5046,4144,99.94,4.83,53.67,
12,10001.000000,5035,4226,99.94,4.85,60.13,
13,10001.000000,4981,4202,99.94,4.85,62.28,
14,10001.000000,4981,4273,99.94,4.86,69.00,
15,10001.000000,4961,4274,99.94,4.86,70.99,
16,10001.000000,4965,4338,99.94,4.88,78.08,
17,10001.000000,4961,4372,99.94,4.88,83.19,
18,10001.000000,4989,4489,99.94,4.91,98.65,
19,10001.000000,4973,4479,99.94,4.90,99.86,
